Sort,Function,Category,Subcategory,Description,Covered ,Notes
2.3.8,,,PR.DS-7,The development and testing environment(s) are separate from the production environment,,
2.3.9,,,PR.DS-8,Integrity checking mechanisms are used to verify hardware integrity,,
2.4.01,,"Information Protection Processes and Procedures (PR.IP):
Security policies (that address purpose, scope, roles, responsibilities, management commitment, and coordination among organizational entities), processes, and procedures are maintained and used to manage protection of information systems and assets.",,,,
2.4.02,,,PR.IP-1,A baseline configuration of information technology/industrial control systems is created and maintained incorporating security principles (e.g. concept of least functionality),,
2.4.03,,,PR.IP-2,A System Development Life Cycle to manage systems is implemented,,
2.4.04,,,PR.IP-3,Configuration change control processes are in place,,
2.4.05,,,PR.IP-4,"Backups of information are conducted, maintained, and tested ",,
2.4.06,,,PR.IP-5,Policy and regulations regarding the physical operating environment for organizational assets are met,,
2.4.07,,,PR.IP-6,Data is destroyed according to policy,,
2.4.08,,,PR.IP-7,Protection processes are improved,,
2.4.09,,,PR.IP-8,Effectiveness of protection technologies is shared ,,
2.4.10,,,PR.IP-9,Response plans (Incident Response and Business Continuity) and recovery plans (Incident Recovery and Disaster Recovery) are in place and managed,,
2.4.11,,,PR.IP-10,Response and recovery plans are tested,,
2.4.12,,,PR.IP-11,"Cybersecurity is included in human resources practices (e.g., deprovisioning, personnel screening)",,
2.4.13,,,PR.IP-12,A vulnerability management plan is developed and implemented,,
2.5.1,,"Maintenance (PR.MA):
Maintenance and repairs of industrial control and information system components are performed consistent with policies and procedures.",,,,
2.5.2,,,PR.MA-1,"Maintenance and repair of organizational assets are performed and logged, with approved and controlled tools",,
2.5.3,,,PR.MA-2,"Remote maintenance of organizational assets is approved, logged, and performed in a manner that prevents unauthorized access",,
2.6.1,,"Protective Technology (PR.PT):
Technical security solutions are managed to ensure the security and resilience of systems and assets, consistent with related policies, procedures, and agreements.",,,,
2.6.2,,,PR.PT-1,"Audit/log records are determined, documented, implemented, and reviewed in accordance with policy",,
2.6.3,,,PR.PT-2,Removable media is protected and its use restricted according to policy,,
2.6.4,,,PR.PT-3,The principle of least functionality is incorporated by configuring systems to provide only essential capabilities,,
2.6.5,,,PR.PT-4,Communications and control networks are protected,,
2.6.6,,,PR.PT-5,"Mechanisms (e.g., failsafe, load balancing, hot swap) are implemented to achieve resilience requirements in normal and adverse situations",,
3.1.1,DETECT (DE),"Anomalies and Events (DE.AE):
Anomalous activity is detected and the potential impact of events is understood.",,,,
3.1.2,,,DE.AE-1,A baseline of network operations and expected data flows for users and systems is established and managed,,
3.1.3,,,DE.AE-2,Detected events are analyzed to understand attack targets and methods,,
3.1.4,,,DE.AE-3,Event data are collected and correlated from multiple sources and sensors,,
3.1.5,,,DE.AE-4,Impact of events is determined,,
3.1.6,,,DE.AE-5,Incident alert thresholds are established,,
3.2.1,,"Security Continuous Monitoring (DE.CM):
The information system and assets are monitored to identify cybersecurity events and verify the effectiveness of protective measures.",,,,
3.2.2,,,DE.CM-1,The network is monitored to detect potential cybersecurity events,,
3.2.3,,,DE.CM-2,The physical environment is monitored to detect potential cybersecurity events,,
3.2.4,,,DE.CM-3,Personnel activity is monitored to detect potential cybersecurity events,,
3.2.5,,,DE.CM-4,Malicious code is detected,,
