Unnamed: 0,Critical Security Controls,Master Mappings Tool (v7.0c),Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Critical Security Control,NIST 800-53 rev4,NIST CSF v1.0,NIST CSF v1.1,NIST 800-82 rev2,NIST SMB Guide,DHS CDM Program,ISO 27002:2013,ISO 27002:2005,IEC 62443-3-3:2013,NIST 800-171,NSA MNP,Australian Essential Eight,Australian Top 35,NSA Top 10,Canadian CSE Top 10,GCHQ 10 Steps,UK Cyber Essentials,UK ICO Protecting Data,PCI DSS 3.2,PCI DSS 3.1,PCI DSS 3.0,HIPAA,FFIEC Information Security Booklet (2016),FFIEC Examiners Handbook,FFIEC Cybersecurity Assessment Tool (CAT),COBIT 5,AICPA SOC 2 & SOC3 TSPC,AICPA's GAPP,IRS Pub1075,SWIFT,SG MAS TRM,Saudi AMA,NERC CIP v7,NERC CIP v6,NERC CIP v5,NERC CIP v4,NERC CIP v3,Cloud Security Alliance,SEC OCIE for AWS,FY15 FISMA Metrics,ITIL 2011 KPIs,NV Gaming MICS v7 2015,MA - CoM 201 CMR 17.00,NY - NYCRR 500,Victorian PDSF v1.0,ANSSI - 40 Measures
Critical Security Control #9: Limitation and Control of Network Ports,"AC-4: Information Flow Enforcement
CA-7: Continuous Monitoring
CA-9: Internal System Connections
CM-2: Baseline Configuration
CM-6: Configuration Settings
CM-8: Information System Component Inventory
SC-20: Secure Name /Address Resolution Service (Authoritative Source)
SC-21: Secure Name /Address Resolution Service (Recursive or Caching Resolver)
SC-22: Architecture and Provisioning for Name/Address Resolution Service
SC-41: Port and I/O Device Access
SI-4: Information System Monitoring","PR.AC-5
DE.AE-1","PR.AC-5
DE.AE-1","6.2.16
6.2.17",,Boundary Protection,"A.9.1.2
A.13.1.1
A.13.1.2
A.14.1.2","A.10.6.1 - A.10.6.2
A.11.4.4",,3.4.7,"Baseline Management
Configuration and Change Management",,"2
3
12
13
27",Limit Workstation-to-Workstation Communication,8,Network Security,,"Decommissioning of software or services
Unnecessary Services",1.4,1.4,1.4,"164.310(b): Workstation Use - R
164.310(c): Workstation Security - R",II.C.9,Network Security,"Domain 3: Cybersecurity Controls - Preventative Controls
Domain 3: Cybersecurity Controls - Detective Controls","APO13: Manage Security
DSS05: Manage Security Services",,"7.2.2
8.2.1",,,,,"CIP-007-6 R1
CIP-010-3 R2","CIP-007-6 R1
CIP-010-2 R2","CIP-007-5 R1
CIP-010-1 R2",CIP-007-4 R2,CIP-007-3 R2,"DSI-02
IVS-06
IPY-04",,,Information Security Management,Network Security and Data Protection,,,,
Critical Security Control #10: Data Recovery Capabilities,"CP-9: Information System Backup
CP-10: Information System Recovery and Reconstitution
MP-4: Media Storage",PR.IP-4,PR.IP-4,"6.2.16
6.2.17","3.5a
3.5b",,"A.10.1.1
A.12.3.1","A.10.5.1
A.10.8.3",SR 7.3 - 7.4,3.8.9,Backup Strategy,8,,,8,,,,"4.3
9.5 - 9.7","4.3
9.5 - 9.7","4.3
9.5 - 9.7","164.308(a)(7): Contingency Plan - Data Backup Plan R
164.308(a)(7): Contingency Plan - Disaster Recovery Plan R
164.308(a)(7): Contingency Plan - Testing and Revision Procedure A
164.310(d)(1): Device and Media Controls - Data Backup and Storage A",II.C.21,Encryption,Domain 3: Cybersecurity Controls - Preventative Controls,"APO13: Manage Security
DSS05: Manage Security Services",A 1.2,"7.2.2
8.2.1",9.3.6,,"8 - Systems Reliability, Availability, and Recoverability","3.3.6
3.3.8",CIP-009-6 R1,CIP-009-6 R1,CIP-009 -5 R1,"CIP-009-4 R4
CIP-009-4 R5","CIP-009-3 R4
CIP-009-3 R5",MOS-11,Disaster Recovery,,Information Security Management,Backups,,,,36
"Critical Security Control #11: Secure Configuration for Network Devices, such as Firewalls, Routers and Switches","AC-4: Information Flow Enforcement
CA-3: System Interconnections
CA-7: Continuous Monitoring
CA-9: Internal System Connections
CM-2: Baseline Configuration
CM-3: Configuration Change Control
CM-5: Access Restrictions for Change
CM-6: Configuration Settings
CM-8: Information System Component Inventory
MA-4: Nonlocal Maintenance
SC-24: Fail in Known State
SI-4: Information System Monitoring","PR.AC-5
PR.IP-1
PR.PT-4","PR.AC-5
PR.IP-1
PR.PT-4","5.15
6.2.7",,"CSM: Configuration Settings Management
Boundary Protection","A.9.1.2
A.13.1.1
A.13.1.3","A.10.6.1 - A.10.6.2
A.11.4.5
A.11.4.7
A.11.5.1 - A.11.5.3",SR 7.6,"3.4.1 - 3.4.3
3.7.5 - 3.7.6","Map Your Network
Patch Management
Baseline Management
Document Your Network
Security Gateways, Proxies, and Firewalls
Configuration and Change Management",7,"2
3
10","Set a Secure Baseline Configuration
Segregate Networks and Functions",,"Secure Configuration
Network Security","Boundary firewalls and internet gateways
Secure Configuration
Patch Management","Software Updates
Inappropriate locations for processing data","1.1 - 1.2
2.2
6.2","1.1 - 1.2
2.2
6.2","1.1 - 1.2
2.2
6.2",,II.C.9,Network Security,"Domain 3: Cybersecurity Controls - Preventative Controls
Domain 3: Cybersecurity Controls - Detective Controls","APO13: Manage Security
DSS05: Manage Security Services
BAI10: Manage Configuration",,"7.2.2
8.2.1","9.3.5
9.3.7
9.4.10",,,3.3.8,"CIP-005-5 R1
CIP-007-6 R2
CIP-010-3 R1","CIP-005-5 R1
CIP-007-6 R2
CIP-010-2 R1","CIP-005-5 R1
CIP-007-5 R2
CIP-010-1 R1","CIP-003-4 R6
CIP-004-4 R4
CIP-005-4 R2
CIP-006-4 R3
CIP-007-4 R3","CIP-003-3 R6
CIP-004-3 R4
CIP-005-3 R2
CIP-006-3 R3
CIP-007-3 R3","DSI-02
IAM-03
IVS-06
IVS-09
MOS-19
TVM-02",Network Configuration and Management,3: Identity Credential and Access Management,Information Security Management,Network Security and Data Protection,,Section 500.12,,8-13
Critical Security Control #12: Boundary Defense,"AC-4: Information Flow Enforcement
AC-17: Remote Access
AC-20: Use of External Information Systems
CA-3: System Interconnections
CA-7: Continuous Monitoring
CA-9: Internal System Connections
CM-2: Baseline Configuration
SA-9: External Information System Services
SC-7: Boundary Protection
SC-8: Transmission Confidentiality and Integrity
SI-4: Information System Monitoring","PR.AC-3
PR.AC-5
PR.MA-2
DE.AE-1","PR.AC-3
PR.AC-5
PR.MA-2
DE.AE-1",5.1 - 5.11,3.2d,Boundary Protection,"A.9.1.2
A.12.4.1
A.12.7.1
A.13.1.1
A.13.1.3
A.13.2.3","A.10.6.1 - A.10.6.2
A.10.10.2
A.11.4.2
A.11.4.5
A.11.4.7
A.11.5.1 - A.11.5.3
A.11.7.1 - A.11.7.2","SR 1.13
SR 2.3
SR 5.2
","3.1.3
3.1.12 - 3.1.15
3.1.18
3.1.20 - 3.1.22
3.13.1
3.13.6 - 3.13.8
3.13.12 - 3.13.13
3.13.15
","Map Your Network
Network Architecture
Baseline Management
Document Your Network
Personal Electronic Device Management
Security Gateways, Proxies, and Firewalls
Remote Access Security
Network Security Monitoring
Log Management",7,"10-11
18-20
23
32-34",Segregate Networks and Functions,"1
5
9","Home and Mobile Working
Monitoring
Network Security",Boundary firewalls and internet gateways,"Configuration of SSL and TLS
Inappropriate locations for processing data","1.1 - 1.3
8.3
10.9
11.4","1.1 - 1.3
8.3
10.8
11.4","1.1 - 1.3
8.3
10.8
11.4",,"II.C.6
II.C.9
II.C.16","Network Security
Security Monitoring","Domain 2: Threat Intelligence & Collaboration - Monitoring and Analyzing
Domain 3: Cybersecurity Controls - Preventative Controls
Domain 3: Cybersecurity Controls - Detective Controls","APO13: Manage Security
DSS05: Manage Security Services",,"7.2.2
8.2.1
8.2.2","9.3.16
9.4.10","1.1
6.5a",9 - Operational Infrastructure Security Management,3.3.10,"CIP-005-5 R1
CIP-005-5 R2
CIP-007-6 R4","CIP-005-5 R1
CIP-005-5 R2
CIP-007-6 R4","CIP-005-5 R1
CIP-005-5 R2
CIP-007-5 R4","CIP-005-4 R3
CIP-007-4 R6","CIP-005-3 R3
CIP-007-3 R6","DSI-02
IVS-01
IVS-06
IVS-09
MOS-16",Network Configuration and Management,"3: Identity Credential and Access Management
6: Network Defense
7: Boundary Protection",Information Security Management,"Network Security and Data Protection
Remote Access","VI-01
VI-04
VI-05","Section 500.11
Section 500.12",,"4
5
24
25
31"
Critical Security Control #13: Data Protection,"AC-3: Access Enforcement
AC-4: Information Flow Enforcement
AC-23: Data Mining Protection
CA-7: Continuous Monitoring
CA-9: Internal System Connections
IR-9: Information Spillage Response
MP-5: Media Transport
SA-18: Tamper Resistance and Detection
SC-8: Transmission Confidentiality and Integrity
SC-28: Protection of Information at Rest
SC-31: Covert Channel Analysis
SC-41: Port and I/O Device Access
SI-4: Information System Monitoring","PR.AC-5
PR.DS-2
PR.DS-5
PR.PT-2","PR.AC-5
PR.DS-2
PR.DS-5
PR.PT-2",,,,"A.8.3.1
A.10.1.1 - A.10.1.2
A.13.2.3
A.18.1.5","A.10.7.1
A.12.3.1 - A.12.3.2
A.12.5.4
A.15.1.6","SR 3.1
SR 4.3","3.1.19
3.1.21
3.8.7 - 3.8.8
3.13.16","Network Architecture
Device Accessibility
Security Gateways, Proxies, and Firewalls
Network Security Monitoring",,26,,"5
7
9",Removable Media Controls,,,"3.6
4.1 - 4.3","3.6
4.1 - 4.3","3.6
4.1 - 4.3","164.308(a)(4): Information Access Management - Isolating Health care Clearinghouse Function R
164.310(d)(1): Device and Media Controls - Accountability A
164.312(a)(1): Access Control - Encryption and Decryption A
164.312(e)(1): Transmission Security - Integrity Controls A
164.312(e)(1): Transmission Security - Encryption A",II.C.9,"Encryption
Data Security","Domain 3: Cybersecurity Controls - Preventative Controls
Domain 3: Cybersecurity Controls - Detective Controls","APO13: Manage Security
DSS05: Manage Security Services",,"7.2.2
8.2.1
8.2.2
8.2.6","9.3.10
9.4.10
",,9 - Operational Infrastructure Security Management,3.3.8,CIP-011-2 R1,CIP-011-2 R1,CIP-011-1 R1,,,"DSI-02
DSI-05
EKM-01 - EKM-04
MOS-11",Data Encryption,5: Data Protection,Information Security Management,Network Security and Data Protection,"V-19
VI-03",Section 500.15,Standard 4,"15
19"
Critical Security Control #14: Controlled Access Based on the Need to Know,"AC-1: Access Control Policy and Procedures
AC-2: Account Management
AC-3: Access Enforcement
AC-6: Least Privilege
AC-24: Access Control Decisions
CA-7: Continuous Monitoring
MP-3: Media Marking
RA-2: Security Categorization
SC-16: Transmission of Security Attributes
SI-4: Information System Monitoring","PR.AC-4
PR.AC-5
PR.DS-1
PR.DS-2
PR.PT-2
PR.PT-3","PR.AC-4
PR.AC-5
PR.DS-1
PR.DS-2
PR.PT-2
PR.PT-3","5.1
5.4
5.5
6.2.1",3.2g,"TRUST: Access Control Management
PRIV: Privileges","A.8.3.1
A.9.1.1
A.10.1.1","A.10.7.1
A.10.10.1 - A.10.10.3
A.11.4.5
A.11.4.7
A.11.6.1 - A.11.6.2
A.12.5.4","SR 2.1
SR 4.1
SR 5.1
SR 5.3
SR 7.7","3.1.2
3.1.3
3.1.5
3.8.2
3.8.5 - 3.8.6
3.13.4 - 3.13.6","Network Architecture
Device Accessibility
User Access
Data-at-Rest Protection
Log Management",,26,Segregate Networks and Functions,"5
7
9","Managing User Privileges
Network Security",Access Control,Inappropriate locations for processing data,"1.3 - 1.4
4.3
7.1 - 7.3
8.7","1.3 - 1.4
4.3
7.1 - 7.3
8.7","1.3 - 1.4
4.3
7.1 - 7.3
8.7","164.308(a)(1): Security Management Process - Information System Activity Review R
164.308(a)(4): Information Access Management - Isolating Health care Clearinghouse Function R
164.308(a)(4): Information Access Management - Access Authorization A
164.312(a)(1): Access Control - Encryption and Decryption A
164.312(c)(1): Integrity - Mechanism to Authenticate Electronic Protected Health Information A
164.312(a)(1):  Access Control - Automatic Logoff A
164.312(d): Person or Entity Authentication - R
164.312(e)(1): Transmission Security - Integrity Controls A
164.312(e)(1): Transmission Security - Encryption A","II.C.7
II.C.9
II.C.13
II.C.15
II.C.19","Authentication and Access Controls
Encryption
Data Security","Domain 3: Cybersecurity Controls - Preventative Controls
Domain 3: Cybersecurity Controls - Detective Controls","APO13: Manage Security
DSS05: Manage Security Services","CC 5.7
C 1.2 - C 1.3","7.2.2
8.2.1
8.2.2
8.2.6","4.0
5.0
6.1
9.3.1
9.3.16
9.4.10","1.1
2.1
2.4a
2.5a
5.1","9 - Operational Infrastructure Security Management
11 - Access Controls
12 - Online Financial Services",3.3.5,"CIP-005-5 R1
CIP-005-5 R2
CIP-007-6 R4
CIP-011-2 R1","CIP-005-5 R1
CIP-005-5 R2
CIP-007-6 R4
CIP-011-2 R1","CIP-005-5 R1
CIP-005-5 R2
CIP-007-5 R4
CIP-011-1 R1","CIP-003-4 R5
CIP-004-4 R4
CIP-005-4 R2
CIP-006-4 R3","CIP-003-3 R5
CIP-004-3 R4
CIP-005-3 R2
CIP-006-3 R3","DSI-02
IVS-09
MOS-11",Logical Access Control,,Information Security Management,Network Security and Data Protection,"V-04
V-05
V-06
VI-03","Section 500.07
Section 500.13
Section 500.15",Standard 4,21
Critical Security Control #15: Wireless Access Control,"AC-18: Wireless Access
AC-19: Access Control for Mobile Devices
CA-3: System Interconnections
CA-7: Continuous Monitoring
CM-2: Baseline Configuration
IA-3: Device Identification and Authentication
SC-8: Transmission Confidentiality and Integrity
SC-17: Public Key Infrastructure Certificates
SC-40: Wireless Link Protection
SI-4: Information System Monitoring",,,,3.2e,,"A.10.1.1
A.12.4.1
A.12.7.1",,"SR 1.6
SR 2.2",3.1.16 - 3.1.17,"Map Your Network
Baseline Management
Document Your Network
Personal Electronic Device Management
Network Access Control",,,,,"Monitoring
Network Security",,,"4.3
11.1","4.3
11.1","4.3
11.1",,II.C.9,"Network Security
Encryption
Security Monitoring","Domain 3: Cybersecurity Controls - Preventative Controls
Domain 3: Cybersecurity Controls - Detective Controls","APO13: Manage Security
DSS05: Manage Security Services",,"7.2.2
8.2.1
8.2.2",9.4.18,,9 - Operational Infrastructure Security Management,,CIP-007-6 R4,CIP-007-6 R4,CIP-007-5 R4,"CIP-005-4 R3
CIP-007-4 R6","CIP-005-3 R3
CIP-007-3 R6","IVS-01
IVS-06
IVS-12
MOS-11",,,Information Security Management,Network Security and Data Protection,,,,22
Critical Security Control #16: Account Monitoring and Control,"AC-2: Account Management
AC-3: Access Enforcement
AC-7: Unsuccessful Logon Attempts
AC-11: Session Lock
AC-12: Session Termination
CA-7: Continuous Monitoring
IA-5: Authenticator Management
IA-10: Adaptive Identification and Authentication
SC-17: Public Key Infrastructure Certificates
SC-23: Session Authenticity
SI-4: Information System Monitoring","PR.AC-1
PR.AC-4
PR.PT-3","PR.AC-1
PR.AC-4
PR.AC-6
PR.AC-7
PR.PT-3","5.15
6.2.7","3.1a
3.1c
3.2a
4.0h",CRED: Credentials and Authentication Management,"A.9.1.1
A.9.2.1 - A.9.2.6
A.9.3.1
A.9.4.1 - A.9.4.3
A.11.2.8","A.8.3.3
A.11.2.1
A.11.2.3 - A.11.2.4
A.11.3.1 - A.11.3.3
A.11.5.1 - A.11.5.3","SR 1.1 - 1.13
SR 2.1
SR 2.5","3.1.8
3.1.10 - 3.1.11
3.5.1 - 3.5.9
3.9.2
3.13.9","User Access
Baseline Management
Log Management",7,25,,,Managing User Privileges,Access Control,Configuration of SSL and TLS,"7.1 - 7.3
8.7 - 8.8","7.1 - 7.3
8.7 - 8.8","7.1 - 7.3
8.7 - 8.8","164.308(a)(1): Security Management Process - Information System Activity Review R
164.308(a)(4): Information Access Management - Access Authorization A
164.308(a)(4): Information Access Management - Access Establishment and Modification A
164.308(a)(5): Security Awareness and Training - Password Management A
164.312(a)(1): Access Control - Unique User Identification R
164.312(a)(1): Access Control - Automatic Logoff A
164.312(d): Person or Entity Authentication - R
164.312(e)(1): Transmission Security - Integrity Controls A
164.312(e)(1): Transmission Security - Encryption A",II.C.7,Authentication and Access Controls,"Domain 3: Cybersecurity Controls - Preventative Controls
Domain 3: Cybersecurity Controls - Detective Controls","APO13: Manage Security
DSS05: Manage Security Services",CC 5.1 - CC 5.6,"7.2.2
8.2.1","9.3.7
9.3.13
","4.1
4.2
5.2
5.4a","11 - Access Controls
12 - Online Financial Services",3.3.5,"CIP-005-5 R1
CIP-005-5 R2
CIP-007-6 R4","CIP-005-5 R1
CIP-005-5 R2
CIP-007-6 R4","CIP-005-5 R1
CIP-005-5 R2
CIP-007-5 R4","CIP-005-4 R3
CIP-007-4 R5
CIP-007-4 R6","CIP-005-3 R3
CIP-007-3 R5
CIP-007-3 R6","IAM-02
IAM-09 - IAM-12
MOS-14
MOS-16
MOS-20",,3: Identity Credential and Access Management,Information Security Management,"System Parameters
User Accounts
Generic User Accounts
Service & Default Accounts","V-05
V-06
V-08
V-09
V-10
V-11
V-17
VI-05","Section 500.06
Section 500.07
Section 500.12",Standard 4,8-13
Critical Security Control #17: Implement a Security Awareness and Training Program,"AT-1: Security Awareness and Training Policy and Procedures
AT-2: Security Awareness Training
AT-3: Role-Based Security Training
AT-4: Security Training Records
SA-11: Developer Security Testing and Evaluation
SA-16: Developer-Provided Training
PM-13: Information Security Workforce
PM-14: Testing, Training, & Monitoring
PM-16: Threat Awareness Program","PR.AT-1
PR.AT-2
PR.AT-3
PR.AT-4
PR.AT-5","PR.AT-1
PR.AT-2
PR.AT-3
PR.AT-4
PR.AT-5",6.2.2,3.2i,BEHV: Security-Related Behavior Management,A.7.2.2,A.8.2.2,,3.2.2 - 3.2.3,Training,,28,,6,User Education & Awareness,,,12.6,12.6,12.6,"164.308(a)(5): Security Awareness and Training - Security Reminders A
164.308(a)(5): Security Awareness and Training - Protection from Malicious Software A
164.308(a)(5): Security Awareness and Training - Log-in Monitoring A
164.308(a)(5): Security Awareness and Training - Password Management A",,Personnel Security,"Domain 1: Cyber Risk Management & Oversight - Training and Culture
Domain 3: Cybersecurity Controls - Preventative Controls","APO13: Manage Security
DSS05: Manage Security Services",CC 2.1 - CC 2.6,"1.2.9
1.2.10
7.2.2
8.2.1","6.1
9.3.2",7.2,,"3.1.6
3.1.7","CIP-004-6 R1
CIP-004-6 R2","CIP-004-6 R1
CIP-004-6 R2","CIP-004-5 R1
CIP-004-5 R2","CIP-004-4 R1
CIP-004-4 R2","CIP-004-3 R1
CIP-004-3 R2","HRS-10
MOS-05",,8: Training and Education,Information Security Management,,"IV-b
IV-f
V-02","Section 500.10
Section 500.14",Standard 6,39
Critical Security Control #18: Application Software Security,"SA-13: Trustworthiness
SA-15: Development Process, Standards, and Tools
SA-16: Developer-Provided Training
SA-17: Developer Security Architecture and Design
SA-20: Customized Development of Critical Components
SA-21: Developer Screening
SC-39: Process Isolation
SI-10: Information Input Validation
SI-11: Error Handling
SI-15: Information Output Filtering
SI-16: Memory Protection",PR.DS-7,PR.DS-7,,,VUL: Vulnerability Management,"A.9.4.5
A.12.1.4
A.14.2.1
A.14.2.6 - A.14.2.8","A.10.1.4
A.12.2.1
A.12.2.4
A.12.5.2
A.12.5.5",SR 3.3 - 3.8,,Training,,24,,,,,SQL Injection,"6.3
6.5 - 6.7","6.3
6.5 - 6.7","6.3
6.5 - 6.7",,"II.C.11
II.C.17
II.C.18
II.C.19","Application Security
Software Development & Acquisition",Domain 3: Cybersecurity Controls - Preventative Controls,"APO13: Manage Security
DSS05: Manage Security Services",,"7.2.2
8.2.1",,"6.2
6.3","6 - Acquisition and Development of Information Systems
7 - IT Service Management",3.3.6,,,,,,"AIS-01
AIS-03
AIS-04
CCC-01 - CCC-03
IVS-08",,,Information Security Management,"In-House Software Development
Purchased Software Programs",,Section 500.08,,
Critical Security Control #19: Incident Response and Management,"IR-1: Incident Response Policy and Procedures
IR-2: Incident Response Training
IR-3: Incident Response Testing
IR-4: Incident Handling
IR-5: Incident Monitoring
IR-6: Incident Reporting
IR-7: Incident Response Assistance
IR-8: Incident Response Plan
IR-10: Integrated Information Security Analysis Team","PR.IP-10
DE.AE-2
DE.AE-4
DE.AE-5
DE.CM-1-7
RS.RP-1
RS.CO-1-5
RS.AN-1-4
RS.MI-1-2
RS.IM-1-2
RC.RP-1
RC.IM-1-2
RC.CO-1-3","PR.IP-10
DE.AE-2
DE.AE-4
DE.AE-5
DE.CM-1-7
RS.RP-1
RS.CO-1-5
RS.AN-1-4
RS.MI-1-2
RS.IM-1-2
RC.RP-1
RC.IM-1-2
RC.CO-1-3","5.17
6.2.8",3.4a,"Plan for Events
Respond to Events","A.6.1.3
A.7.2.1
A.16.1.2
A.16.1.4 - A.16.1.7","A.6.1.6
A.8.2.1
A.13.1.1
A.13.2.1 - A.13.2.2",,3.6.1 - 3.6.3,Incident Response and Disaster Recovery Plans,,,,,Incident Management,,,12.10,12.10,12.10,164.308(a)(6): Security Incident Procedures - Response and Reporting R,,,"Domain 5: Cyber Incident Management and Resilience - Incident Resilience Planning and Strategy
Domain 5: Cyber Incident Management and Resilience - Detection, Response, and Mitigation
Domain 5: Cyber Incident Management and Resilience - Escalation and Reporting","APO13: Manage Security
DSS05: Manage Security Services
DSS02: Manage Service Requests and Incidents",CC 6.2,"7.2.2
8.2.1",9.3.8,"7.1
7.4a",7 - IT Service Management,3.3.15,"CIP-008-5 R1
CIP-008-5 R2
CIP-008-5 R3","CIP-008-5 R1
CIP-008-5 R2
CIP-008-5 R3","CIP-008-5 R1
CIP-008-5 R2
CIP-008-5 R3","CIP-008-4 R1
CIP-008-4 R2","CIP-008-3 R1
CIP-008-3 R2",SEF-01 - SEF-05,Security Incident Response,9: Incident Response,"Information Security Management
Incident Management",,V-13,Section 500.16,"Standard 7
Standard 8","37
38"
Critical Security Control #20: Penetration Tests and Red Team Exercises,"CA-2: Security Assessments
CA-5: Plan of Action and Milestones
CA-6: Security Authorization
CA-8: Penetration Testing
RA-6: Technical Surveillance Countermeasures Survey
SI-6: Security Function Verification
PM-6: Information Security Measures of Performance
PM-14: Testing, Training, & Monitoring",,,"6.2.3
6.2.4",,,"A.14.2.8
A.18.2.1
A.18.2.3","A.6.1.8
A.15.2.2
A.15.3.1",SR 3.3,,Audit Strategy,,,,,,,,11.3,11.3,11.3,,,,Domain 3: Cybersecurity Controls - Detective Controls,"APO13: Manage Security
DSS05: Manage Security Services
MEA02: Monitor, Evaluate and Assess the System of Internal Control",,"7.2.2
8.2.1
8.2.7",9.3.3,7.3a,9 - Operational Infrastructure Security Management,"3.2.4
3.2.5",,,,,,,,,Information Security Management,,,Section 500.05,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,This work is licensed under a Creative Commons Attribution-ShareAlike 4.0 International License.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
